TU FFR Code,Field Name,Displacement,Length,Type
PS02,Phone Number Total Points,110,2,A/N
PS02,SSN Total Points,112,2,A/N
PS02,Total Points,114,2,A/N
PS02,First Name Percent,116,3,A/N
PS02,Last Name Percent,119,3,A/N
PS02,Current Address Percent,122,3,A/N
PS02,Previous Address Percent,125,3,A/N
PS02,Date of Birth Percent,128,3,A/N
PS02,Area Code Percent,131,3,A/N
PS02,Phone Number Percent,134,3,A/N
PS02,SSN Percent,137,3,A/N
PS02,Total Percent,140,3,A/N
QH01,Segment Type,1,4,A/N
QH01,Segment Length,5,3,N
QH01,Message Code,8,6,A/N
QH01,Address Match Flag,14,1,A/N
QH01,Number of Times Input Was Used on Other Inquiries,15,3,A/N
QH01,Threshold Chosen,18,2,A/N
QH01,Time Frame of Occurrences,20,2,A/N
RE01,Segment Type,1,4,A/N
RE01,Segment Length,5,3,N
RE01,Source Indicator,8,1,A
RE01,ZIP Code vs City,9,1,N
RE01,ZIP Code vs State,10,1,N
RE01,Phone Number vs State,11,1,N
RE01,Phone Number vs ZIP Code,12,1,N
RE01,Mileage,13,8,A/N
RR01,Segment Type,1,4,A/N
RR01,Segment Length,5,3,N
RR01,Record Number,8,2,N
RR01,Last Reported Date,10,8,A/N
RR01,Frequency Reported,18,4,N
SA11,Segment Type,1,4,A/N
SA11,Segment Length,5,3,N
SA11,Subscriber Address 1,8,30,A/N
SA11,Subscribe Address 2,38,30,A/N
SA11,City,68,28,A
SA11,State,96,2,A
SA11,ZIP Code,98,5,A/N
SA11,ZIP Extension Code,103,4,A/N
SC01,Segment Type,1,4,A/N
SC01,Segment Length,5,3,N
SC01,Service Code,8,5,A/N
SC01,Sign,13,1,A/N
SC01,Score,14,5,A/N
SC01,Scoring Indicator Flag,19,1,A/N
SC01,Score Derog and Inquiry Alert Flag,20,1,A/N
SC01,First Factor,21,3,A/N
SC01,Second Factor,24,3,A/N
SC01,Third Factor,27,3,A/N
SC01,Fourth Factor,30,3,A/N
SC01,Score Card Indicator,33,2,A/N
SD01,Segment Type,1,4,A/N
SD01,Segment Length,5,3,N
SD01,Summary Type,8,1,A
SD01,High Credit Amount,9,9,A/N
SD01,Credit Limit Amount,18,9,A/N
SD01,Current Balance Amount,27,9,A/N
SD01,Past Due Amount,36,9,A/N
SD01,Monthly Payment Amount,45,9,A/N
SD01,Percent of credit available,54,3,A/N
SH01,Segment Type,1,4,A/N
SH01,Segment Length,5,3,N
SH01,Subject Identifier,8,1,N
SH01,File Number,9,2,N
SH01,File Hit,11,1,A
SH01,SSN Match Indicator,12,2,A/N
SH01,Consumer Statement Indicator,14,1,A/N
SH01,Bureau Market File Control,15,2,A/N
SH01,Bureau Submarket File Control,17,2,A/N
SH01,Supression Indicator,19,1,A
SH01,In File Since Date,20,8,A/N
SH02,Segment Type,1,4,A/N
SH02,Segment Length,5,3,N
SH02,Subject Identifier,8,1,N
SH02,File Number,9,2,N
SH02,Service Action,11,2,A
SH03,Segment Type,1,4,A/N
SH03,Segment Length,5,3,N
SH03,Subject Identifier,8,1,N
SH03,Subject Hit Status,9,1,A/N
SH03,Filler,10,1,A/N
SH04,Segment Type,1,4,A/N
SH04,Segment Length,5,3,N
SH04,Subject Identifier,8,1,N
SH04,File Number,9,2,N
SH04,File Hit Status,11,1,A
SH04,SSN Match Indicator,12,2,A/N
SH04,Match Indicator,14,1,A/N
SH04,Consumer Statement Indicator,15,1,A/N
SH04,Bureau Market File Control,16,2,A/N
SH04,Bureau Submarket File Control,18,2,A/N
SH04,Supression Indicator,20,1,A
SH04,In File Since Date,21,8,A/N
SH05,Segment Type,1,4,A/N
SH05,Segment Length,5,3,N
SH05,Subject Identifier,8,1,N
SH05,File Number,9,2,N
SH05,Subject Hit Status,11,1,A/N
SH05,Subject Restriction Status,12,1,A/N
SH05,Subject Country,13,1,A/N
SH06,Segment Type,1,4,A/N
SH06,Segment Length,5,3,N
SH06,Subject Identifier,8,1,N
SH06,File Number,9,2,N
SH06,File Hit Status,11,1,A/N
SH06,Suppression Indicator,12,1,A/N
SH06,SSN Deceased Indicator,13,1,A/N
SH06,Bankruptcy Indicator,14,1,A/N
SM11,Segment Type,1,4,A/N
SM11,Segment Length,5,3,N
SM11,Credit Summary Reporting Period,8,1,N
SM11,Number of Public Records,9,3,N
SM11,Number of Collection Accounts,12,3,N
SM11,Number of Negative Accounts,15,3,N
SM11,Accounts with any Historical Negative,18,3,N
SM11,Occurrence of Historical Negatives,21,3,N
SM11,Number of Trade Accounts,24,3,N
SM11,Number of Revolving and Check Credit Trade Accounts,27,3,N
SM11,Number of Installment Trade Accounts,30,3,N
SM11,Number of Mortgage Trade Accounts,33,3,N
SM11,Number of Open Trade Accounts,36,3,N
SM11,Number of Unspecified Portfolio Type Accounts,39,3,N
SM11,Number of Inquiries,42,3,N
SV01,Segment Type,1,4,A/N
SV01,Segment Length,5,3,N
SV01,Verification Status,8,2,A/N
SV01,Results of Name Verification,10,2,A/N
SV01,Results of Address Verification,12,2,A/N
SV01,Results of SSN Verification,14,2,A/N
SV01,Results of DOB Verification,16,2,A/N
SV01,Results of Suffix Verification,18,2,A/N
SV01,Message Text,20,48,A/N
SV02,Segment Type,1,4,A/N
SV02,Segment Length,5,3,N
SV02,File Source,8,2,A/N
SV02,File Number,10,2,N
SV02,Subject Hit Status,12,2,A/N
SV02,Subject Restriction Status,14,1,A/N
SV02,Phone Status,15,1,A/N
SV02,Date of Birth,16,1,A/N
SV02,Address Type,17,1,A/N
SV02,First Name,18,2,A/N
SV02,Last Name,20,2,A/N
SV02,Current Address,22,2,A/N
SV02,Previous Address,24,2,A/N
SV02,Area Code,26,2,A/N
SV02,Phone Number,28,2,A/N
SV02,SSN,30,2,A/N
SV03,Segment Type,1,4,A/N
SV03,Segment Length,5,3,N
SV03,Source Indicator,8,2,A/N
SV03,Subject Hit Status,10,2,A/N
SV03,First Name,12,2,A/N
SV03,Middle Name,14,2,A/N
SV03,Last Name,16,2,A/N
SV03,Maternal Name,18,2,A/N
SV03,Suffix,20,2,A/N
SV03,Current Address,22,2,A/N
SV03,Previous Address,24,2,A/N
SV03,Phone Number,26,2,A/N
SV03,SSN,28,2,A/N
SV03,Date of Birth,30,2,A/N
SV03,Filler,32,16,A/N
TA01,Segment Type,1,4,A/N
TA01,Segment Length,5,3,N
TA01,Address Type,8,1,A/N
TA01,Message Type,9,1,A/N
TA01,Alert Condition,10,1,A/N
TA01,Number of Inquiries in Last 60 days,11,2,A/N
TC01,Segment Type,1,4,A/N
TC01,Segment Length,5,3,N
TC01,Service Code,8,5,A/N
TC01,Debt to Income Percentage Indicator,13,1,A/N
TC01,Debt to Income Percentage,14,3,A/N
TC01,Low Range,17,7,N
TC01,Upper Range,24,7,N
TM11,Segment Type,1,4,A/N
TM11,Segment Length,5,3,N
TM11,Filler,8,3,N
TM11,MOP 09 9B 9P Counter,11,3,N
TM11,MOP 08 8A 8P Counter,14,3,N
TM11,MOP 07 BK Counter,17,3,N
TM11,Filler,20,3,N
TM11,MOP 05 Counter,23,3,N
TM11,MOP 04 Counter,26,3,N
TM11,MOP 03 Counter,29,3,N
TM11,MOP 02 Counter,32,3,N
TM11,MOP 01 Counter,35,3,N
TM11,Filler,38,3,N
TM11,All Other Counter,41,3,N
TM11,Number of accounts in dispute,44,3,N
TR11,Segment Type,1,4,A/N
TR11,Segment Length,5,3,N
TR11,Industry Code,8,2,A/N
TR11,Reporting Subscriber Code,10,8,A/N
TR11,Subscriber Name,18,30,A/N
TR11,Portfolio Type,48,1,A
TR11,Account Number,49,30,A/N
TR11,Equal Credit Opportunity Act Designator,79,1,A
TR11,Account Type,80,2,A
TR11,Effective Date,82,8,A/N
TR11,Open Date,90,8,A/N
TR11,Closed Date,98,8,A/N
TR11,Closed Date Indicator,106,1,A
TR11,Paid Out Date,107,8,A/N
TR11,Current Balance Amount,115,9,A/N
TR11,High Credit Amount,124,9,A/N
TR11,Credit Limit Amount,133,9,A/N
TR11,Terms Payment Schedule Month Count,142,3,A/N
TR11,Terms Frequency of Payment,145,1,A/N
TR11,Terms Scheduled Monthly Payment Amount,146,9,A/N
TR11,Actual Payment Amount,155,9,A
TR11,Last Payment Date,164,8,A/N
TR11,Manner of Payment renamed,172,2,A/N
TR11,Payment Pattern Start Date,174,8,A/N
TR11,Payment Pattern,182,48,A/N
TR11,Number of Months Reviewed,230,2,N
TR11,Times 30 Days Late,232,2,A/N
TR11,Times 60 Days Late,234,2,A/N
TR11,Times 90 Days Late,236,2,A/N
TR11,Past Due Amount,238,9,A/N
TR11,Consolidated Remark Code renamed,247,3,A/N
TR11,Filler,250,34,A/N
TR11,Maximum Delinquency Manner of Payment MOP,284,2,A/N
TR11,Maximum Delinquency Amount,286,9,A/N
TR11,Maximum Delinquency Date,295,8,A/N
TR11,Most Recent Maximum Delinquency Amount renamed ,303,9,A/N
TR11,Most Recent Maximum Delinquency Date renamed ,312,8,A/N
TR11,Remarks Affiliate Remark Code,320,3,A/N
TR11,Generic Remark Code,323,3,A/N
TR11,Rating Remark Code,326,3,A/N
TR11,Compliance Remark Code,329,3,A/N
TR11,Update Indicator,332,1,A
TR12,Segment Type,1,4,A/N
TR12,Segment Length,5,3,N
TR12,Industry Code,8,2,A/N
TR12,Reporting Subscriber Code,10,8,A/N
TR12,Subscriber Name,18,30,A/N
TR12,Portfolio Type,48,1,A
TR12,Account Number,49,30,A/N
TR12,Current Balance Amount,79,9,A/N
TR12,Current Manner of Payment MOP,88,2,A/N
TR12,Current Past Due Amount,90,9,A/N
TR12,Previous Manner of Payment MOP,99,2,A/N
TR12,Previous Past Due Amount,101,9,A/N
TR12,Remarks Code Affiliate Remark Code,110,3,A/N
TR12,Generic Remark Code,113,3,A/N
TR12,Rating RemarkCode,116,3,A/N
TR12,Compliance Remark Code,119,3,A/N
TR12,Method of Contact,122,1,A/N
TR13,Segment Type,1,4,A/N
TR13,Segment Length,5,3,N
TR13,Industry Code,8,2,A/N
TR13,Reporting Subscriber Code,10,8,A/N
TR13,Subscriber Name,18,30,A/N
TR13,Portfolio Type,48,1,A
TR13,Account Number,49,30,A/N
TR13,Equal Credit Opportunity Act Designator,79,1,A
TR13,Account Type,80,2,A
TR13,Effective Date,82,8,A/N
TR13,Open Date,90,8,A/N
TR13,Closed Date,98,8,A/N
TR13,Closed Date Indicator,106,1,A
TR13,Paid Out Date,107,8,A/N
TR13,Current Balance Amount,115,9,A/N
TR13,High Credit Amount,124,9,A/N
TR13,Credit Limit Amount,133,9,A/N
TR13,Terms Payment Schedule Month Count,142,3,A/N
TR13,Terms Frequency of Payment,145,1,A/N
TR13,Terms Scheduled Monthly Payment Amount,146,9,A/N
TR13,Actual Payment Amount,155,9,A
TR13,Last Payment Date,164,8,A/N
TR13,Manner of Payment MOP renamed,172,2,A/N
TR13,Payment Pattern Start Date,174,8,A/N
TR13,Payment Pattern,182,48,A/N
TR13,Number of Months Reviewed,230,2,N
TR13,Times 30 Days Late,232,2,A/N
TR13,Times 60 Days Late,234,2,A/N
TR13,Times 90 Days Late,236,2,A/N
TR13,Past Due Amount,238,9,A/N
TR13,First Delinquency Date,247,8,A/N
TR13,Filler,255,29,A/N
TR13,Maximum Delinquency Manner of Payment,284,2,A/N
TR13,Maximum Delinquency Amount,286,9,A/N
TR13,Maximum Delinquency Date,295,8,A/N
TR13,Most Recent Maximum Delinquency Amount renamed,303,9,A/N
TR13,Most Recent Delinquency Date renamed,312,8,A/N
TR13,Remarks Affiliate Remark Code,320,3,A/N
TR13,Generic Remark Code,323,3,A/N
TR13,Rating Remark Code,326,3,A/N
TR13,Compliance Remark Code,329,3,A/N
TR13,Update Indicator,332,1,A
TR13,Reported Date,333,8,A/N
TR13,Suppressed Date,341,8,A/N
TR13,Suppression Indicator,349,1,A/N
TR13,Filler,350,2,A/N
TR13,Filler,352,18,A/N
TR13,Filler,370,18,A/N
TT01,Segment Type,1,4,A/N
TT01,Segment Length,5,3,N
TT01,Transaction Number,8,26,A/N
TU4E,Segment Type,1,4,A/N
TU4E,Segment Length,5,3,N
TU4E,Version Switch,8,1,N
TU4E,Country Code,9,1,A/N
TU4E,Language Indicator,10,1,N
TU4E,User Reference Number,11,24,A/N
TU4E,Bureau Market,35,2,N
TU4E,Bureau Submarket,37,2,A/N
TU4E,Industry Code,39,2,A/N
TU4E,Inquiring Subscriber Code,41,8,A/N
TU4E,Transaction Date,49,8,A/N
TU4E,Transaction Time,57,6,A/N
TU4R,Segment Type,1,4,A/N
TU4R,Segment Length,5,3,N
TU4R,Version Switch,8,1,N
TU4R,Country Code,9,1,A/N
TU4R,Language Indicator,10,1,N
TU4R,User Reference Number,11,24,A/N
TU4R,Bureau Market,35,2,N
TU4R,Bureau Submarket,37,2,A/N
TU4R,Industry Code,39,2,A/N
TU4R,Inquiring Subscriber Code,41,8,A/N
TU4R,Transaction Date,49,8,A/N
TU4R,Transaction Time,57,6,A/N
TX01,Segment Type,1,4,A/N
TX01,Segment Length,5,3,N
TX01,Content Type,8,3,A/N
TX01,Statement Identifier,11,3,A/N
TX01,Filler,14,3,N
TX01,Current Segment Number,17,3,N
TX01,Total Segment Number,20,3,N
TX01,Statement Text,23,150,A/N
UA11,Segment Type,1,4,A/N
UA11,Segment Length,5,3,N
UA11,Source Indicator,8,1,A
UA11,Address Qualifier,9,1,A/N
UA11,Address Classification Code,10,1,A/N
UA11,Standardized Flag,11,1,A/N
UA11,Address Type,12,1,A/N
UA11,Unparsed Address Line 1,13,70,A/N
UA11,City,83,28,A
UA11,State,111,2,A
UA11,ZIP Code,113,5,A/N
UA11,ZIP Extension Code,118,4,A/N
UA11,Reported Date,122,8,A/N
UA11,Housing Status,130,1,A/N
UF11,Segment Type,1,4,A/N
UF11,Segment Length,5,3,N
UF11,Source Indicator,8,1,A
UF11,Address Qualifier,9,1,A/N
UF11,Address Classification Code,10,1,A/N
UF11,Standardized Flag,11,1,A/N
UF11,Address Type,12,1,A/N
UF11,Unparsed Address Line 1,13,70,A/N
UF11,City,83,28,A
UF11,State,111,2,A
UF11,ZIP Code,113,5,A/N
UF11,ZIP Extension Code,118,4,A/N
UF11,Reported Date,122,8,A/N
UF11,Housing Status,130,1,A/N
VH01,Segment Type,1,4,A/N
VH01,Segment Length,5,3,N
VH01,Source Indicator,8,1,A
VH01,Vehicle Identification Number,9,17,A/N
VH01,Year,26,4,A/N
VH01,Make,30,16,A/N
VH01,Model,46,35,A/N
VH01,Body Style,81,10,A/N
VH01,Odometer Mileage,91,6,N
VH01,Odometer Reading Date,97,8,A/N
VH01,State Registered,105,2,A
VH01,Business Use Indicator,107,1,A/N
VH01,AntiTheft Device Type Code,108,2,A/N
VH01,Collision Deductible Amount,110,9,A/N
VH01,Comprehensive Deductible Amount,119,9,A/N
VH01,Towing Limit Amount,128,9,A/N
VH01,Daily Rental Reimbursement Limit Amount,137,9,A/N
VH01,Total Rental Reimbursement Limit Amount,146,9,A/N
VH01,Plate Type,155,1,A/N
VH01,Branded Title,156,1,A/N
VH01,Lease Indicator,157,1,A/N
VH01,Filler,158,27,A/N
VS01,Segment Type,1,4,A/N
VS01,Segment Length,5,3,N
VS01,Identity Risk Indicator,8,1,A/N
VS01,Best Match Source Indicator,9,2,A/N
VS01,Sign,11,1,A/N
VS01,Verification Point,12,4,A/N
VS01,Risk Lower Threshold,16,4,A/N
VS01,Risk Upper Threshold,20,4,A/N
VS01,Filler,24,10,A/N
WS01,Segment Type,1,4,A/N
WS01,Segment Length,5,3,N
WS01,Satisfaction Criteria,8,3,A/N
YI01,Segment Type,1,4,A/N
YI01,Segment Length,5,3,N
YI01,ID Qualifier,8,2,A/N
YI01,Message Code,10,6,A/N
YI01,Source Indicator,16,1,A/N
YI01,Number of Years Covered,17,2,A/N
YI01,Range of Years Issued From,19,4,N
YI01,Range of Years Issued To,23,4,N
YI01,State Code,27,2,A
YI01,Sign of Age Obtained From,29,1,A/N
YI01,Age Obtained From,30,2,A/N
YI01,Sign of Age Obtained To,32,1,A/N
YI01,Age Obtained To,33,2,A/N
YI01,Issuance Year Status,35,2,A/N
ZC01,Segment Type,1,4,A/N
ZC01,Segment Length,5,3,N
ZC01,Source Indicator,8,1,A
ZC01,ZIP Code Qualifier,9,2,A/N
ZC01,ZIP Code Indicator,11,1,N
ZC01,ZIP Code Type,12,1,A/N
ZC01,ZIP Code,13,10,A/N
